Available,Duration,Total_Fare,no_of_days_to_flight,Airways_Air India,Airways_AirAsia,Airways_Go Air,Airways_IndiGo,Airways_Jet Airways,Airways_Spicejet,Airways_Vistara,Dept_Time_BSR,Dept_Time_MDSS,Dept_Time_SRMD,Dept_Time_SSMN,Arr_Time_BSR,Arr_Time_MDSS,Arr_Time_SRMD,Arr_Time_SSMN,Hopping_False,Hopping_True
7,545,7012,38,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,725,11034,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
7,1070,5821,52,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,320,8173,40,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
9,125,5621,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
7,975,7012,55,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
7,340,7012,39,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
5,580,7065,34,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
2,130,4490,20,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
7,320,8173,44,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
11,115,5160,21,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
7,990,6540,52,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5,485,6540,36,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,135,4235,25,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
6,400,7170,28,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
7,860,5821,48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,830,7065,37,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
5,945,12693,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,325,11853,21,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
13,180,4419,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
9,135,2829,41,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
5,130,3698,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,340,9826,27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
7,1665,7065,36,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,340,10593,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
11,265,8276,14,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3,130,3495,38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
7,1605,5658,47,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
7,560,10636,12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,350,12399,29,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
9,135,4860,20,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
7,265,3979,33,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,545,5647,43,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5,150,3927,16,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3,320,10315,10,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5,350,11480,20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
4,135,2840,33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
3,705,7012,51,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
7,125,3248,44,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
4,130,3248,52,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
7,780,6792,56,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
9,135,5621,9,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
6,565,7779,50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
5,1150,5227,48,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3,1110,9013,29,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
9,890,7042,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
7,265,7800,31,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
2,255,2876,49,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
9,135,4351,13,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
13,130,3496,35,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
13,115,3496,37,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
10,135,4224,25,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
7,265,7800,33,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
2,125,3337,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,1520,5647,33,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
7,510,7170,54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
9,130,5349,21,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
9,590,11758,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,1260,13879,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
8,130,3286,29,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
5,115,7066,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
7,910,8010,29,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5,890,6412,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
7,130,2882,42,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
8,590,9501,16,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
4,130,3698,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
9,130,3495,33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
